===FLAGS.datasource===: miniimagenet
FLAGS.datasource: miniimagenet
True
Generating filenames
Manipulating image data to be right shape
False
Generating filenames
Manipulating image data to be right shape
image_tensor:  (4, 80, 21168)
Done initializing, starting training.
Iteration 47800: 0.0, 1.0
Iteration 47900: 0.0, 1.0
Iteration 48000: 0.0, 1.0
Validation results: 0.1, 0.23666668
Totally results: , 0.2408333302785953
Iteration 48100: 0.0, 1.0
Iteration 48200: 0.0, 1.0
Iteration 48300: 0.0, 1.0
Iteration 48400: 0.0, 1.0
Iteration 48500: 0.0, 1.0
Validation results: 0.25, 0.24666665
Totally results: , 0.2408934676462842
Iteration 48600: 0.1, 1.0
Iteration 48700: 0.2, 0.9
Iteration 48800: 0.15, 0.96333337
Iteration 48900: 0.15, 1.0
Iteration 49000: 0.15, 1.0
Validation results: 0.3, 0.2833333
Totally results: , 0.24132652717585468
Iteration 49100: 0.15, 1.0
Iteration 49200: 0.15, 1.0
Iteration 49300: 0.15, 1.0
Iteration 49400: 0.15, 1.0
Iteration 49500: 0.1, 1.0
Validation results: 0.45, 0.26666665
Totally results: , 0.24158248802026114
Iteration 49600: 0.0, 1.0
Iteration 49700: 0.0, 1.0
Iteration 49800: 0.0, 1.0
Iteration 49900: 0.0, 1.0
Iteration 50000: 0.0, 1.0
Validation results: 0.35000002, 0.21666667
Totally results: , 0.2413333298265934
Iteration 50100: 0.05, 1.0
Iteration 50200: 0.05, 1.0
Iteration 50300: 0.05, 1.0
Iteration 50400: 0.05, 1.0
Iteration 50500: 0.05, 1.0
Validation results: 0.25, 0.23333332
Totally results: , 0.24125412180282102
Iteration 50600: 0.1, 1.0
Iteration 50700: 0.1, 1.0
Iteration 50800: 0.1, 1.0
Iteration 50900: 0.1, 1.0
Iteration 51000: 0.1, 1.0
Validation results: 0.25, 0.20666668
Totally results: , 0.24091502921838387
Iteration 51100: 0.05, 1.0
Iteration 51200: 0.05, 1.0
Iteration 51300: 0.05, 1.0
